word,V1,V2,V3,V4,V5
"comprehensive",0.00441478676369433,-0.00584891646110228,-0.00548285887492721,0.00371590267973931,-0.00319639252594466
"expeditiously",0.0011739190655195,-0.00205698498533347,-0.00110455025193039,0.00150920832754172,-0.00098690861637598
"framework",0.00398848569495021,-0.00778315039451626,0.00610085281309744,0.00821747128005936,-0.00168173380298688
"human",0.0358407763682814,-0.00108942815903519,0.0120173382359999,0.00340764578062118,0.0117973771701353
"move",0.0077510806263455,-0.00135259695354931,0.000589084656356601,0.0041679919837423,-0.00123241013566096
"need",0.108756732677439,-0.183966876823395,-0.113079709558945,0.110024237756026,-0.0883159585461405
"report",0.0179593507637882,-0.0267828431797899,0.00851811912118313,0.000479809036860727,0.00205200562396404
"towards",0.011024589035281,-0.0149671413846426,-0.0106156539367248,0.00769710876105002,-0.00673543424489312
"age",0.0693570024426522,-0.104537399859363,0.134740957913711,0.152395888418103,-0.154089812321938
"as",0.00792202352429449,-0.0101096554440459,0.0007515557568343,-0.000685589922370176,-0.0106657032710589
"derelict",0.00242884900983445,-0.00365628140395102,0.000831960287286412,-0.0029875463773093,-0.0077087748622916
"easily",0.00242884900983453,-0.00365628140395095,0.000831960287286386,-0.00298754637730928,-0.00770877486229171
"grow",0.00680910181657544,-0.0101175416057154,-0.00330282966677755,-0.00435792258192815,-0.00198756773057778
"old",0.0295955716263939,-0.0434514076657149,0.0134213023764791,0.0164199561643689,-0.000413997729037739
"part",0.0696145593885539,-0.173062554833951,0.145496994520257,-0.483611402295685,-0.332028062973086
"place",0.108271457161432,-0.0696410157949643,-0.200068670522725,0.0379289388909961,-0.109881914764701
"short",0.0193576693657985,-0.00324995192663777,0.00010941353038586,-0.00767022649517701,-0.0117610941842422
"show",0.00812069443939835,-0.00927636726996329,-0.00476391497154108,-0.00123785076195271,-0.00971437872712928
"think",0.0710881365547363,-0.00268013797174381,-0.0104246961200478,0.0212022290842178,-0.0437497948115129
"available",0.0771110939604702,-0.0519488050806439,-0.189612619830628,0.0565059093207117,-0.0463374521738293
"benefit",0.00827749456846753,-0.0105891186601029,0.000657525598544886,0.00911999025014662,-0.00108354834606346
"generously",0.001759382839913,-0.00175308831094523,-0.0027946322217279,0.00115153683411621,-1.09230050096275e-05
"like",0.0584565619767562,-0.0417604242102428,-0.0166695662868745,0.00861676333093892,0.0339004503770354
"supporting",0.0109605019769402,-0.013172098372882,0.00122027911829333,0.00296310513954085,-0.0066003162690565
"thank",0.00748640688150493,-0.0103335564301397,-0.00705797492657377,8.88425620936748e-05,0.00494462965715456
"ticket",0.0123973320166059,-0.0121197271976486,-0.0163879186872158,-0.00124883973673114,-0.0053468284534783
"video",0.0186546237071645,-0.0284471584724289,0.0058595419518114,0.0104064189444747,0.0216077892750567
"would",0.0716602650514901,-0.0344481864254143,-0.0360704182475694,0.0262918870989025,0.00971000366101431
"group",0.0128717739950479,-0.00726447390027945,0.00130264500963404,0.00123099826562671,0.00925412034177672
"hot",0.00371579902470752,-0.0044401798330784,-0.00104947453073657,-0.00182684472893383,-0.001228234322697
